# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  151       5.961718563814e-10       1.468817069993e-13      -6.239737523186e-12       0.000000000000e+00       3.247973116336e-12       6.099351956754e-13      -3.857272853536e-15 
  152       6.005883123322e-10       1.461451096389e-13      -6.241238836283e-12       0.000000000000e+00       3.187188593780e-12       6.013678936195e-13      -3.798603229109e-15 
  153       6.049765508929e-10       1.453513306694e-13      -6.239438057877e-12       0.000000000000e+00       3.127691464677e-12       5.928908655270e-13      -3.738494873495e-15 
  154       6.093354022900e-10       1.445017429026e-13      -6.234295615936e-12       0.000000000000e+00       3.069466948467e-12       5.845047261177e-13      -3.676991996764e-15 
  155       6.136637922127e-10       1.435978092751e-13      -6.225773829994e-12       0.000000000000e+00       3.012520119271e-12       5.762147798363e-13      -3.614220485865e-15 
  156       6.179606207442e-10       1.426410999414e-13      -6.213836718081e-12       0.000000000000e+00       2.956852140862e-12       5.680261150041e-13      -3.550312427155e-15 
  157       6.222247618636e-10       1.416332939708e-13      -6.198450037516e-12       0.000000000000e+00       2.902460174587e-12       5.599435965876e-13      -3.485406196422e-15 
  158       6.264550629486e-10       1.405761810445e-13      -6.179581325690e-12       0.000000000000e+00       2.849337287294e-12       5.519718589671e-13      -3.419646548919e-15 
  159       6.306503442778e-10       1.394716631526e-13      -6.157199940863e-12       0.000000000000e+00       2.797472359256e-12       5.441152987059e-13      -3.353184709384e-15 
  160       6.348093985328e-10       1.383217562907e-13      -6.131277102946e-12       0.000000000000e+00       2.746849992098e-12       5.363780673188e-13      -3.286178462080e-15 
  161       6.389309903007e-10       1.371285921568e-13      -6.101785934296e-12       0.000000000000e+00       2.697450416720e-12       5.287640640409e-13      -3.218792240812e-15 
  162       6.430138555766e-10       1.358944198484e-13      -6.068701500504e-12       0.000000000000e+00       2.649249401221e-12       5.212769285963e-13      -3.151197218962e-15 
